Date,Station_1,Station_2,Station_3,Station_4,Station_5,Station_6,Station_7,Station_8,Station_9,Station_10,Station_11,Station_12,Station_13,Station_14,Station_15,Station_16,Station_17,Station_18,Station_19,Station_20,Station_21,Station_22,Station_23,Station_24,Station_25,Station_26,Station_27,Station_28,Station_29,Station_30,Station_31,Station_32,Station_33,Station_34,Station_35,Station_36,Station_37,Station_38,Station_39,Station_40,Station_41,Station_42,Station_43,Station_44,Station_45,Station_46,Station_47,Station_48,Station_49,Grand_Total_Inflow
01-06-1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,700
02-06-1998,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0.222222222,1.444444444,1,0,0,0,0,0,0,13.22222222,8.111111111,1.777777778,0.111111111,7.555555556,6,1.444444444,6.555555556,0,1000
03-06-1998,0,0,0,0.111111111,0,0,0,0,0,0,0.111111111,1.555555556,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0.444444444,0,0,1,1.555555556,0.333333333,0.444444444,0,0,0,0,0.111111111,0.111111111,0.666666667,0,0,0.444444444,0.111111111,0,0,0,0,0,0,4860
04-06-1998,0,0,0.222222222,3.555555556,0,0.555555556,0,0.111111111,1.444444444,0.555555556,0,0,1.111111111,0,0,0,0,0,0,0.111111111,0.111111111,0,0,0,0,0,1,0,1.222222222,1.888888889,0.111111111,0.555555556,1,0,0,0,0.222222222,0.111111111,0.888888889,0,4.777777778,0,0,0,6.444444444,0.111111111,0,5.555555556,0,1100
05-06-1998,1.222222222,1.777777778,6.222222222,2,1.555555556,13.11111111,0.777777778,12.33333333,6.111111111,4.777777778,5.666666667,7.222222222,1.888888889,1.777777778,0.444444444,5.555555556,3.666666667,1,2.444444444,0.222222222,0,4.333333333,5,0.333333333,0.111111111,0,0,3.444444444,0,0.333333333,0,0.666666667,0,1.222222222,3.555555556,0,1,0.444444444,0,0,0,0,0.111111111,1.777777778,0,0,0.555555556,0,0,4760
06-06-1998,0.555555556,0,0,0,0,0.333333333,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.888888889,0,0,0,0,0,0.666666667,0,0,0,0,0,0.111111111,1,0,0,0,0,0,0.444444444,1.111111111,1.888888889,2.111111111,3700
07-06-1998,10,0,0.666666667,1.333333333,0,0.333333333,2,0,2.222222222,1.777777778,0,2.888888889,1.111111111,0.222222222,0,0,0,0,0,0.111111111,2,1.333333333,0,1.111111111,0.111111111,0,2.888888889,2.444444444,0,0,0,0.555555556,1.222222222,10.22222222,3.888888889,0.333333333,0,0,0,0.555555556,4,5.777777778,1.333333333,0,5.666666667,7.333333333,0.111111111,1.666666667,4.666666667,2540
08-06-1998,0.333333333,0,0,0,0,0,0,0,0,0,0.111111111,0.888888889,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0.444444444,1.777777778,0,0,0.111111111,0.222222222,0.888888889,0.666666667,0,0,0,0.222222222,0.333333333,3.444444444,2.888888889,0,0,0,0,0,0.333333333,0.777777778,1.777777778,2.111111111,1800
09-06-1998,11.22222222,0,0.111111111,0.111111111,0.111111111,0.111111111,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550
10-06-1998,0,0,0,0.888888889,0,0,0,0,0,0,0,0.111111111,1.888888889,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700
11-06-1998,0.222222222,0.333333333,2.777777778,5.333333333,2.888888889,6.777777778,0.555555556,1,0.777777778,1.666666667,0.111111111,0.111111111,0,1.777777778,0.222222222,0.111111111,0.222222222,0.222222222,1.111111111,0,0,0,0,0,0,0,3.666666667,0,0,0,0,0,0,3.666666667,7.222222222,0.555555556,0.111111111,0,0,0,0.222222222,1.555555556,4.555555556,0.333333333,0,1.666666667,1,0.333333333,0.888888889,6500
12-06-1998,0.222222222,0,6.222222222,1.444444444,6.111111111,1.666666667,0.555555556,1.555555556,0,0,1.333333333,4.444444444,0.111111111,0.111111111,1.444444444,6,0.777777778,0,0.222222222,0.888888889,6.666666667,2.222222222,1.111111111,3.444444444,0.666666667,3.777777778,0.333333333,10.77777778,5.444444444,1.555555556,0.777777778,4.444444444,0.777777778,8.666666667,9.444444444,2.888888889,2.666666667,1.555555556,0,0,5.333333333,10.22222222,11.22222222,11.22222222,14.33333333,6.333333333,7.666666667,12.33333333,2.444444444,7500
13-06-1998,4.888888889,0,9.666666667,2.555555556,8.222222222,2.444444444,0,0,0,0,3.555555556,0.555555556,11.77777778,8.222222222,8,11.11111111,5.555555556,0.555555556,8.888888889,4,3.777777778,11.88888889,7.555555556,1.333333333,2,3.555555556,4.777777778,13.44444444,35.11111111,35.66666667,8.555555556,9.333333333,0.333333333,28.88888889,7.222222222,8.777777778,14.11111111,9.888888889,16,4,10.22222222,21.22222222,50.88888889,24.22222222,47.88888889,47.77777778,22.44444444,45.88888889,29.33333333,7800
14-06-1998,2.888888889,20.66666667,32.44444444,17.44444444,25.77777778,22.77777778,1.777777778,20.88888889,26.22222222,19.33333333,45.88888889,38.11111111,43.88888889,20.66666667,12.11111111,87.55555556,154.1111111,71.11111111,16.66666667,14.44444444,2,119.2222222,207.6666667,90.44444444,12.22222222,5.777777778,1.222222222,86.55555556,110.6666667,18.77777778,13.22222222,28.77777778,5.555555556,16.77777778,78.66666667,108.5555556,11.44444444,9.666666667,12.88888889,7.777777778,51.22222222,129.8888889,52.66666667,7.333333333,112,47.66666667,12.77777778,64.88888889,27.66666667,9000
15-06-1998,39.88888889,42.55555556,56.22222222,64.55555556,31.22222222,79,55.33333333,17.22222222,57.22222222,122.1111111,22.66666667,66.11111111,53.44444444,30.77777778,0.111111111,18.11111111,60.77777778,64.22222222,30.44444444,30.77777778,20.66666667,7.777777778,15.88888889,14.55555556,11.33333333,12.55555556,14.33333333,4.777777778,3.666666667,3.888888889,4.111111111,7.888888889,9.333333333,1.555555556,5.444444444,8.777777778,0.222222222,5.111111111,5.777777778,9.666666667,1.666666667,4.222222222,3.222222222,0.666666667,0,0,0.555555556,1.222222222,0,7200
16-06-1998,18.22222222,3.444444444,1.222222222,3.444444444,5.555555556,10.22222222,14,7.222222222,11.55555556,14.55555556,10.33333333,13.88888889,4.444444444,6.555555556,2.333333333,5.888888889,5.555555556,4.777777778,6.222222222,7.777777778,8.666666667,0.222222222,1.666666667,3.888888889,2.888888889,7.888888889,7.777777778,0.222222222,0.555555556,2.333333333,3.666666667,6.333333333,7.666666667,4.888888889,0.222222222,0.666666667,0,0.444444444,3.222222222,3.444444444,4.888888889,0,1.111111111,0,4.555555556,0.111111111,0,10.55555556,10.44444444,7700
17-06-1998,0,0,4.888888889,1.333333333,4.111111111,1.777777778,0,3,0,1.444444444,0.222222222,0.555555556,0.555555556,7,0,0,0,0.666666667,1.666666667,0.555555556,7.444444444,0,0,0.777777778,2,7.555555556,20.33333333,2.111111111,0.222222222,2.333333333,3,3.333333333,14.33333333,2.333333333,10.88888889,14.77777778,0.222222222,0.888888889,1,18.77777778,1.333333333,5.444444444,2,0,12.55555556,0,1.444444444,1.555555556,6.888888889,8840
18-06-1998,0,0,0.111111111,1.888888889,0.111111111,4.111111111,0,0.777777778,0,16.55555556,0.222222222,0.444444444,10.44444444,9.111111111,6.222222222,0,0,0,4.888888889,7.888888889,1.111111111,0,5,6.666666667,10,15.66666667,12.22222222,7.555555556,0,13.77777778,5.222222222,8.666666667,17.88888889,10.33333333,9.555555556,0.222222222,1.555555556,2.777777778,1,1,24.66666667,2.777777778,1.666666667,2.111111111,3.111111111,0.111111111,2.555555556,12.66666667,21.77777778,9810
19-06-1998,0,0,0.555555556,5.666666667,7.888888889,8.444444444,9.444444444,25.88888889,13.66666667,9.777777778,31.77777778,12,18.22222222,21.11111111,2.333333333,11.66666667,2.444444444,25.22222222,16.55555556,15.55555556,0.111111111,12.55555556,21.11111111,39,19,12,0,2.222222222,0.777777778,6.555555556,16.77777778,15.22222222,6.555555556,12.11111111,4.333333333,3.333333333,4.777777778,13.11111111,1.777777778,4.555555556,17.77777778,12.77777778,5.111111111,0.111111111,0.777777778,0,1.222222222,0,0,54780
20-06-1998,0,0.333333333,16.33333333,11.66666667,7,15,0,11.44444444,0.333333333,0.222222222,4.555555556,5.777777778,7.111111111,3,17.44444444,10.88888889,0.111111111,9.777777778,0.333333333,0,0,2.444444444,0.777777778,3.777777778,0.111111111,0.333333333,0,2.333333333,0.777777778,0.111111111,0,2.666666667,0.111111111,6.666666667,1.222222222,0,0.333333333,0,0,1.888888889,3.222222222,0,3.222222222,11.11111111,0.222222222,4.333333333,8.666666667,0,0,55500
21-06-1998,0,0,0.888888889,0,1.333333333,0,0,6.111111111,2,0,0.333333333,0,0.333333333,0,0,0,0,0.222222222,0,0,0.111111111,0,0,0,0,0,0.777777778,0,0,0,0,0.111111111,1,4.111111111,0,0,0,0.555555556,1.666666667,6.666666667,2.333333333,2,0.222222222,0,1,0.666666667,0,0,0,46670
22-06-1998,0.444444444,0,1.888888889,0.333333333,0.666666667,3.888888889,0,5.333333333,0.222222222,1.111111111,0.555555556,1.666666667,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,1.666666667,0.666666667,0,0,0,0,0,0.888888889,2,0.222222222,0.111111111,8,1,0.777777778,18.55555556,0,0,1,12.55555556,7.777777778,24.33333333,8.777777778,6.777777778,28,10800
23-06-1998,4.333333333,4.111111111,15.55555556,5.888888889,2.111111111,3.777777778,0.333333333,12.22222222,18.88888889,4.888888889,9.333333333,6,6.888888889,12.11111111,1.111111111,0,5.777777778,18.33333333,7.222222222,11.66666667,2.111111111,0,0.666666667,7.777777778,13.77777778,10.66666667,4.333333333,0,0,2.666666667,5,14.55555556,5.444444444,1,0.444444444,1.666666667,3.333333333,5.222222222,9.888888889,10.33333333,0.222222222,1.555555556,20.77777778,17.66666667,4.888888889,29.44444444,20.77777778,3.666666667,4.333333333,56780
24-06-1998,26.55555556,11.11111111,10,11.77777778,3.777777778,1.555555556,9.444444444,5.333333333,2.111111111,1,1.444444444,2,0,1.777777778,0.222222222,1.333333333,5.777777778,0.111111111,0.777777778,2.777777778,0.111111111,0,0,1.222222222,4.111111111,0.111111111,11,0,0,0.444444444,0.222222222,0,0.888888889,1.666666667,0.333333333,0.555555556,0.555555556,4.555555556,2,0.222222222,9.777777778,4.777777778,4.888888889,2.444444444,0.111111111,0.666666667,1.222222222,0,0,50240
25-06-1998,2.666666667,3.555555556,4.333333333,0.777777778,0,1.333333333,12.55555556,0.888888889,2,0.777777778,0,2.888888889,3.777777778,28.88888889,0,0.333333333,0,2.111111111,3.666666667,1,9.666666667,1,0,0.111111111,0,0.111111111,22.55555556,0.333333333,0,1.555555556,0,1.666666667,16.55555556,0,0,0,0,0.666666667,21.55555556,15,0,0,0.222222222,0,0,0.555555556,0.333333333,0,0,26950
26-06-1998,0.888888889,2.444444444,6.222222222,0.777777778,0.555555556,4.222222222,17.33333333,0.333333333,0.333333333,3,1,3.888888889,0.888888889,0.666666667,0.111111111,0.111111111,0,0,0,0,4.666666667,0,1,0.111111111,0,0,1.111111111,1,10.88888889,9.666666667,0.444444444,2.777777778,3.222222222,2.222222222,0.333333333,0.222222222,1.111111111,1.333333333,4.555555556,7.666666667,1.333333333,0.777777778,1.888888889,0.111111111,3.333333333,15.33333333,4.111111111,8.222222222,11,27690
27-06-1998,13,1.333333333,12,5.444444444,11.66666667,8.222222222,11.77777778,0.888888889,13.44444444,6.444444444,4,18.66666667,17.44444444,12.44444444,0.888888889,2.111111111,10,12,5.777777778,5.111111111,1.333333333,0.222222222,5.222222222,5.111111111,4.888888889,9.111111111,16.33333333,0.777777778,4.222222222,10.88888889,4.333333333,24,21,0,0.555555556,1.111111111,3.111111111,14.55555556,27,38.44444444,0,2.777777778,13.11111111,9.888888889,3,17,12.88888889,5.333333333,14.66666667,27000
28-06-1998,8.777777778,6,1.888888889,14.22222222,2.222222222,17.22222222,14.55555556,2.888888889,7.333333333,23.77777778,1.444444444,0.777777778,9.777777778,8.444444444,0,0.111111111,3.444444444,5.555555556,7.111111111,14.11111111,7.555555556,0.666666667,3.333333333,3.777777778,2.222222222,10.22222222,14.88888889,0.777777778,0.333333333,11.33333333,14.77777778,10.77777778,27.88888889,4.888888889,0.777777778,3.666666667,20.44444444,24.22222222,7.333333333,9.555555556,3.777777778,0.555555556,4.555555556,4.333333333,0.222222222,1.555555556,2.222222222,8.111111111,7.111111111,32510
