Date,Station_1,Station_2,Station_3,Station_4,Station_5,Station_6,Station_7,Station_8,Station_9,Station_10,Station_11,Station_12,Station_13,Station_14,Station_15,Station_16,Station_17,Station_18,Station_19,Station_20,Station_21,Station_22,Station_23,Station_24,Station_25,Station_26,Station_27,Station_28,Station_29,Station_30,Station_31,Station_32,Station_33,Station_34,Station_35,Station_36,Station_37,Station_38,Station_39,Station_40,Station_41,Station_42,Station_43,Station_44,Station_45,Station_46,Station_47,Station_48,Station_49,Grand_Total_Inflow
01-06-2014,0,0.222222222,0.111111111,0.444444444,0.666666667,1,0.111111111,0,0,0.555555556,0,0,0,0.222222222,0.777777778,0,0.222222222,0.444444444,0.555555556,0.111111111,0,1.888888889,0.222222222,1.333333333,4.222222222,0,0,0,0,0,0,0,0,2.888888889,0,0,0,0,0,0,0.666666667,6.888888889,1.111111111,0,6.555555556,0.666666667,0,11,2.888888889,4884
02-06-2014,2.333333333,0.111111111,0.666666667,0.777777778,0,1.222222222,0.666666667,0.444444444,0,2.444444444,3,0.333333333,1.444444444,0.444444444,33.88888889,11.11111111,8.111111111,1.333333333,0.777777778,0,0,20.33333333,13.44444444,8,4.777777778,0.222222222,0,3.666666667,0.888888889,1.555555556,0,0,0,10,5.444444444,1.111111111,1.333333333,0,0.111111111,0.444444444,0,0,5.777777778,19.77777778,17.55555556,3.777777778,12.55555556,13.11111111,1,7203
03-06-2014,7.222222222,0,6.555555556,3,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.222222222,2.333333333,1.777777778,2.111111111,0,7.111111111,6,1.222222222,5.444444444,4.111111111,4988
04-06-2014,0.222222222,1.666666667,8.444444444,0.555555556,3.666666667,0.222222222,0,3.888888889,1,0.111111111,0.111111111,2.444444444,0,0,1.222222222,0,3.666666667,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0.111111111,11.77777778,5.222222222,3,11.66666667,5,5026
05-06-2014,0,0.444444444,1,0.444444444,1.444444444,0,2.111111111,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,2.555555556,0.777777778,0,0,4707
06-06-2014,0,0,1.555555556,0.555555556,5.888888889,0.222222222,0,12.22222222,6.444444444,1,0.555555556,3.333333333,0.222222222,1.444444444,0,4.666666667,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2349
07-06-2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0.333333333,1.555555556,0,0,0,0,0,0,0,0,0,0,0.333333333,2,0,0,0,0,1,1.777777778,2.222222222,2.222222222,12.22222222,3.555555556,0,1.111111111,2434
08-06-2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.555555556,0.111111111,0,0,0,0,0,3.333333333,0.666666667,0,0,0,0,1.555555556,0.111111111,0,0,0.111111111,0,0,1.111111111,0.111111111,2434
09-06-2014,0,0.444444444,11.44444444,12.66666667,2.777777778,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.222222222,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,2500
10-06-2014,3.444444444,0.444444444,0.111111111,0.333333333,3.222222222,0.222222222,1.333333333,0.111111111,0.666666667,4.777777778,2.888888889,0.444444444,0.888888889,0.888888889,0,2.777777778,17.22222222,4,0.444444444,1.666666667,0,0.777777778,12.33333333,9.222222222,0.777777778,3.111111111,0,0,0.666666667,1.888888889,2.888888889,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6393
