Date,Station_1,Station_2,Station_3,Station_4,Station_5,Station_6,Station_7,Station_8,Station_9,Station_10,Station_11,Station_12,Station_13,Station_14,Station_15,Station_16,Station_17,Station_18,Station_19,Station_20,Station_21,Station_22,Station_23,Station_24,Station_25,Station_26,Station_27,Station_28,Station_29,Station_30,Station_31,Station_32,Station_33,Station_34,Station_35,Station_36,Station_37,Station_38,Station_39,Station_40,Station_41,Station_42,Station_43,Station_44,Station_45,Station_46,Station_47,Station_48,Station_49,Grand_Total_Inflow
01-06-2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
02-06-2012,0,0,0,0,0,0,0,0,0,0,0.111111111,0.111111111,0,0,0,0.333333333,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
03-06-2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.222222222,0,0.666666667,1,200
04-06-2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
05-06-2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400
06-06-2012,0,0,0.555555556,0,0.222222222,0,0,3.888888889,0.111111111,0,1.888888889,0.666666667,0,0,0.333333333,1.777777778,1.111111111,0,0,0,0,4.666666667,1.222222222,0,0,0,0,0.222222222,0.111111111,0,0.555555556,0,0,0,0,0,0,0,0,0,0,0.555555556,0,0,2.444444444,0,0,0.555555556,0.222222222,500
07-06-2012,0,0,0.555555556,0.777777778,2.777777778,1.666666667,0,3.222222222,1.111111111,0.222222222,0.222222222,0.888888889,1.111111111,6.555555556,0,0,0,0.444444444,0.888888889,3.111111111,3.444444444,0,0,0.555555556,0.555555556,0,0,0,0,0,0.222222222,2.222222222,0.111111111,0,0,0,0,0.222222222,7.111111111,0.222222222,0,0,1.333333333,2.555555556,0.666666667,1.666666667,7.888888889,2.444444444,0.111111111,500
08-06-2012,0,0,0,0,2.444444444,0.333333333,0.666666667,0,0.111111111,0.333333333,0.444444444,0,1.111111111,0.111111111,0,0,0,0,0,0,3,0,0,0.111111111,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0.222222222,0,500
09-06-2012,12.55555556,1.666666667,2.222222222,0.333333333,4.888888889,2.555555556,0.666666667,2.888888889,3.555555556,3.444444444,2.555555556,0,6.111111111,3.777777778,0.222222222,2.333333333,0,0,0,0,0,0,0.444444444,1.666666667,0.222222222,0,0,0,0.777777778,2.111111111,0,0,0,2.333333333,4.888888889,1.333333333,0,0,0,0,21.44444444,14,3.666666667,1.777777778,12.66666667,5.333333333,6.666666667,12.66666667,6.888888889,500
10-06-2012,3.222222222,0.111111111,0.111111111,0,1.222222222,3.666666667,3.888888889,0,0,0.222222222,1.222222222,1,3.666666667,3.666666667,1.444444444,1,2.555555556,8.111111111,4.555555556,5.666666667,2.333333333,11.22222222,13.55555556,13.33333333,1.666666667,0,4.555555556,11.88888889,16.55555556,12.88888889,1.888888889,0.222222222,0.111111111,6.222222222,13.66666667,18.77777778,12.66666667,0.111111111,0,0,3.666666667,14,18.22222222,4.777777778,13.77777778,9.888888889,1.333333333,14,1.333333333,900
11-06-2012,16,0,0,0,0,0.111111111,0.111111111,0.111111111,0,1,1,0.333333333,0.444444444,10.77777778,0,3.777777778,0.888888889,15.22222222,4,22.33333333,7.555555556,2,1.222222222,3.666666667,5.333333333,11.88888889,7,0.222222222,1.111111111,0.777777778,1.888888889,7.111111111,9.666666667,0,0.111111111,1.222222222,1,0,0,0,0.444444444,1,0.333333333,0.111111111,1.666666667,1.666666667,0.777777778,0,3.888888889,900
12-06-2012,0.555555556,0.666666667,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,4.555555556,4.888888889,3.333333333,3.444444444,0,0,0,8.555555556,12.33333333,4.222222222,0,0,0,0.555555556,0,0.222222222,0,0,0,0,0,0,0,1.666666667,2.555555556,0,0,1.666666667,0,0,0,0,1300
13-06-2012,0.333333333,0,0,0,0,1.333333333,8.777777778,0,0,0.777777778,0.888888889,0,8.666666667,27.11111111,0,0,0,0.222222222,10.77777778,0,5.111111111,1.888888889,0.111111111,1.333333333,3.777777778,0.777777778,0.222222222,4.333333333,1.888888889,0.111111111,3.444444444,0.333333333,0,2,5.555555556,1.666666667,8.111111111,18,2.888888889,0,9.777777778,7.222222222,4.444444444,14.22222222,8.888888889,6.777777778,7.888888889,4.333333333,5.111111111,1700
14-06-2012,0.222222222,18.11111111,0.444444444,3,3.777777778,5,10.33333333,0,0.111111111,2.888888889,1.111111111,0,1.222222222,4.555555556,0,0,0,4.666666667,10.33333333,1.111111111,5.888888889,0,0,0.444444444,4.888888889,0.888888889,0.777777778,0,0,0,0.444444444,0,0,0.333333333,0,0.111111111,2.555555556,2.888888889,0,0,0,0,0.111111111,4.666666667,0,0,0,0,0,2500
15-06-2012,1.666666667,20,8.222222222,2.222222222,3.333333333,6.555555556,8.333333333,8.222222222,3.777777778,2,7,6.555555556,4.666666667,1.222222222,3.333333333,6.555555556,1.111111111,8.666666667,0.555555556,0,0.888888889,3.222222222,0,0,0,0.444444444,1,2.666666667,0,0,0.888888889,1.222222222,1.222222222,0.333333333,2.555555556,0,0,0,0,0,0,0.333333333,0,0,1.777777778,0,0,0.666666667,0,3200
16-06-2012,4.111111111,6.555555556,1,1.111111111,6.777777778,9.111111111,3.333333333,2.666666667,4.444444444,4.333333333,5.777777778,7.777777778,5,13.33333333,2.888888889,2.888888889,1.555555556,23,21.33333333,18.44444444,9.888888889,6.333333333,1.111111111,16.66666667,13.44444444,3,3,3.555555556,25.55555556,12,7,5,2.888888889,19.55555556,5,4,6.888888889,7,1.111111111,2,2.666666667,4.111111111,0.888888889,11.88888889,0.222222222,0.444444444,0,0.444444444,0.444444444,3200
17-06-2012,15.44444444,0.777777778,0.222222222,0.888888889,3.222222222,12.77777778,6.222222222,4,20.44444444,27.55555556,21.66666667,20.44444444,9.555555556,4.222222222,3.888888889,3.222222222,9,31.88888889,18.55555556,3.777777778,8.555555556,1.222222222,8.888888889,20.44444444,16.33333333,6.333333333,9,26,22.22222222,7,16.11111111,46,14.88888889,32.33333333,66.88888889,44.11111111,4.333333333,6.888888889,7.888888889,7.888888889,18.33333333,45.88888889,21.66666667,2.222222222,4,8.666666667,4.888888889,0.333333333,4.111111111,3400
18-06-2012,13,2.444444444,5.555555556,3.888888889,14.77777778,20.33333333,19.11111111,24.44444444,24.66666667,48.55555556,46.11111111,23.55555556,32.33333333,50.22222222,64.77777778,41.88888889,22.11111111,19.66666667,30,63,51.44444444,8.222222222,12.11111111,4.111111111,5.777777778,14.33333333,38.66666667,1.888888889,2.222222222,9.555555556,21.11111111,22.22222222,28.33333333,14.11111111,3.888888889,13.44444444,18.77777778,13.22222222,12.66666667,10,6.333333333,4.444444444,6,2.888888889,3.222222222,12.11111111,3.777777778,0.111111111,6.777777778,3400
19-06-2012,0,0,1,0.555555556,8.444444444,4.555555556,2.222222222,12,6.444444444,11.33333333,17,20.44444444,63.44444444,41,28.22222222,28.11111111,43.88888889,41,14.11111111,1.111111111,5,15.77777778,22.22222222,4.555555556,0.222222222,0,11,35.11111111,12.77777778,0.666666667,0,0,6.444444444,32.11111111,71.55555556,35.44444444,4.555555556,0.222222222,6.111111111,1,24.88888889,46.33333333,19.22222222,3,5.888888889,3.444444444,7.666666667,0.222222222,11.88888889,3400
20-06-2012,0.777777778,0,0,0,1.444444444,0.333333333,0,13.55555556,2.666666667,2.888888889,2,0,0.888888889,4.111111111,0.444444444,0.333333333,1.666666667,24.11111111,9.666666667,6.333333333,7,4.555555556,12.11111111,17.88888889,11.77777778,1.666666667,2.666666667,12.77777778,13.55555556,18.11111111,31.44444444,37,5.555555556,16.66666667,14.11111111,9.333333333,15.22222222,8.444444444,3.555555556,2.222222222,12.66666667,9.111111111,8.888888889,18.55555556,2.444444444,8.777777778,5.111111111,0.333333333,10,3700
21-06-2012,0.333333333,0,0.111111111,0,1.555555556,0,0,2,0,0,0,0.555555556,0,0,0,0,1.222222222,0,0,0,0,0.111111111,0,1.111111111,0.222222222,0,0.333333333,0.555555556,0.222222222,0.111111111,1.666666667,1,2.666666667,0,0.333333333,0.666666667,2.222222222,7.666666667,15.33333333,14.11111111,1.444444444,2.888888889,10.44444444,12.22222222,14.55555556,21.55555556,26.55555556,8.777777778,31.77777778,4200
22-06-2012,0,0,0.222222222,0,0.444444444,0,0,4.666666667,2.222222222,0.111111111,1.888888889,0.444444444,0,0,0.444444444,0.111111111,0.444444444,2.333333333,10.66666667,4.444444444,1.222222222,0,0.444444444,2.777777778,14.66666667,6.777777778,1.888888889,1,3.222222222,11.44444444,19.22222222,9.666666667,7.333333333,0.444444444,2,2,19.22222222,24.77777778,9.444444444,13.88888889,0.333333333,4.333333333,17.77777778,43.44444444,29.66666667,29.66666667,33.44444444,23.33333333,37.77777778,5200
23-06-2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0.111111111,0,0,0.111111111,0.666666667,0.222222222,1.555555556,6.555555556,10.44444444,1.666666667,2.222222222,0,0.888888889,0.333333333,3.777777778,5.888888889,0.666666667,3.666666667,0,1,1,1.555555556,0.333333333,1.333333333,3,0,1.222222222,5700
24-06-2012,1.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,5700
25-06-2012,29.11111111,0.777777778,0,0,0.555555556,0,0,0,1.111111111,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0.666666667,0.555555556,0.111111111,0.111111111,0,0.555555556,0.333333333,1.555555556,0.444444444,0.333333333,1.222222222,0.222222222,0,0.444444444,5200
