Date,Station_1,Station_2,Station_3,Station_4,Station_5,Station_6,Station_7,Station_8,Station_9,Station_10,Station_11,Station_12,Station_13,Station_14,Station_15,Station_16,Station_17,Station_18,Station_19,Station_20,Station_21,Station_22,Station_23,Station_24,Station_25,Station_26,Station_27,Station_28,Station_29,Station_30,Station_31,Station_32,Station_33,Station_34,Station_35,Station_36,Station_37,Station_38,Station_39,Station_40,Station_41,Station_42,Station_43,Station_44,Station_45,Station_46,Station_47,Station_48,Station_49,Grand_Total_Inflow
01-06-2022,15.00618803,1.03030773,0.106806563,1.027586853,1.965242522,0.404504947,0.311956432,2.185432653,0.44914841,0.950640274,1.049104161,3.444504612,0.296076133,0.619907614,0,0,0.308873971,0.966578926,0.01789998,0,0,0,1.082785964,0.986123164,0,0,0,0,0.122328798,0.011737851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-06-2022,0,0,0,0,0,0,0,1.728301346,0,0,0.647383475,0,0,0,0,0.611861472,0,0,0,0,0,0.155279575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326662597,0.823393337,0,0,0.340206981,4364
03-06-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276530955,0,0.120997508,0.091485606,0,0,0,0,0.095506873,0.070478684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.073552344,0,0,0,1.98833797,0.517440594,0.021981461,3.746779892,2.547356947,3308
04-06-2022,0,0,0,0,0,0,0,0,0,0,0,0,0.402317683,0.293842352,0,0,0,0,0,0.063297308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142482168,0.368777992,0,0,0.154639549,1750
05-06-2022,0,0,0,0.230126313,0,0,0,0.463183906,0,0,0.029437535,0,0,0.02785883,0.874919918,0,0,0,0,0,0,0,0,0,0,0,0,1.833114836,0,0,0,0,0,14.68030416,6.248570946,0,0,0,0,0,7.020665318,0.128431492,0,0,1.237851933,0.17757254,0.068246894,1.336928421,2.555806524,1750
06-06-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28865395,0.034846365,0,0,1.428854124,0,0,3.568788687,0,2550
07-06-2022,0,0,0,0,0,0,0,0.491000719,0,0,0.046059367,0,0,0,0,0.576212883,0.467479007,0,0,0,0,0.420829415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6058
08-06-2022,1.47413675,1.707757864,12.72335853,0,9.963507083,0,0,8.069466326,19.48970026,0.25668834,4.990127236,16.30051514,0.186595038,0,0,0.118952513,7.690277716,0.087580495,0.025410334,0.013034447,0,0,0.272036685,0.225767556,0,0.013793797,0,0,0.044962378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6056
09-06-2022,7.944550143,10.95054249,0,9.04137024,0,1.794107866,1.228493633,0,0,0.539757186,0.02031346,0.901597154,0.638455785,2.958643304,0,0.015651648,0,0.012022256,1.805979666,1.528951188,0.144437076,0,0,0,0.27277945,1.653575184,0.336446383,0,0,0,0.162622306,2.192889885,0.875816388,0,0,0,0,0,0,0.023570422,0,0,0,0,0,0,0,0,5.00165316,6454
10-06-2022,1.066250192,2.374193099,1.403345194,0,0.92490451,6.686219235,2.09611402,0,0,2.212133755,0.028903693,0,0.408227407,0.477831993,0,0,0,3.099584712,1.738918376,0.082626285,0.048983034,0.070041186,6.015210827,8.390777455,3.374442769,0.324129118,0,8.947357704,4.615677794,3.546602637,0.942711774,0.280716393,0.027727357,2.290093104,4.865251117,1.662327561,1.796262251,0.483896282,0,0,0.840618988,0.989161824,0.045605924,0,0,0,0,0,0.260742499,7814
11-06-2022,13.00366004,1.928580314,26.45550081,8.959064696,7.565284431,11.14463583,12.83809437,0.720223038,22.94640615,9.19104739,17.12527228,4.711707698,14.77908182,8.511843344,0.031716857,2.302070936,5.815545572,17.5439859,6.60995948,1.95567691,2.557266394,5.199187318,26.42542209,4.821228782,5.151167644,2.551591896,0.066728228,2.86738194,1.269798888,2.925039266,0.950764219,1.693608936,0.913477197,0,0.516040663,0.113513943,0.869862782,3.820213132,17.53933039,11.87596023,1.759377784,0.137053914,0.014510976,0.186500467,2.488415872,0.030073835,5.765652206,10.19107306,0.226711478,7000
12-06-2022,0.322066819,2.511795865,2.411221094,10.48066733,2.97875408,8.768918329,13.00645145,3.28869005,2.39950184,2.049848585,12.79041346,4.790801565,1.543562474,1.107716208,0.09515057,11.42658456,1.087807292,0.062999083,2.222393974,3.519231516,8.774230668,6.630308244,4.820871141,2.021157321,0.017177024,1.09072927,1.477684796,5.498486532,17.44953982,1.450137003,0,0,0,0.394716978,4.069934673,2.252335095,0.359277262,0,0,0,2.321822842,2.873275797,2.127250718,1.289300442,4.378441307,7.229782555,16.74483628,10.68981806,7.543509112,8000
13-06-2022,5.544184301,8.723969844,3.270194398,10.09663916,11.2154035,1.518946436,0,6.889443835,15.31719163,1.10886332,24.7898918,6.925371385,0.401874704,1.450594478,14.28950108,2.499817484,4.374615735,7.275487992,0.050285003,0.054433364,0.015327263,0.402117531,1.494300948,4.110621293,0.290116247,0.326010373,0.304974647,0.689773983,1.001775714,1.775534491,0.052665234,0.023496563,0.565727401,0.109196451,1.164282474,0.464202753,1.300713956,0,0.01550847,0,0.011208706,0,2.534712341,9.218980021,0.153816755,0,3.153133657,0.213590254,0,8500
14-06-2022,0,0,0.7811927,0,6.782185343,2.650690628,1.177207914,2.615348563,0.918040554,3.303966616,4.037700738,0.277938247,6.381988955,5.487460295,2.434768465,3.587156239,0.351137698,3.256654587,8.199933608,6.260296428,2.32583944,2.120498419,0.195420822,2.957540522,4.245132102,4.19011423,2.976898771,3.820336335,0.541569445,2.108802941,1.280370686,0.462392059,0,0.506406817,9.817526446,2.031088405,2.749916229,1.223564625,0.969177034,9.156647046,0.120088433,1.173903671,0.265671402,0.781491778,0.80600462,0.368777992,0,5.280661331,0.244257536,8500
15-06-2022,0,0,0.449089858,0,0,0.451608958,0.454674794,3.005244642,5.136978151,5.401181284,5.750351633,25.69955301,12.42678346,4.579938359,3.458344354,23.76837026,12.12908324,13.36173979,8.101282914,7.068398502,23.64020602,19.53836075,29.5766422,2.621936003,12.02460686,4.832578752,17.35796425,13.6341477,12.99023965,2.875878003,10.99166028,4.156698659,8.004310714,43.64212502,11.45873711,17.66413588,7.446608292,17.15376843,17.32771058,8.014573607,48.57811324,16.80107294,5.800662398,4.400128894,12.13910945,23.39869991,8.31136677,6.883056906,12.7656703,8800
16-06-2022,0.545603216,1.187096549,0.553286685,0.250228193,4.591086015,0.994370538,7.465188344,10.73005634,13.57714087,1.744216008,12.06886105,0.779272815,1.048425062,1.674311512,5.492106385,3.638184845,1.920511742,14.11492825,5.086941683,5.014114949,2.273557491,7.106505871,8.981098175,12.21554123,4.752408663,5.089225269,1.004163735,2.655242549,4.082568063,6.070791827,3.661423312,3.000924715,0.59944406,0,0,3.670762698,0.465009918,0.87280134,2.454096284,1.309557829,5.836125023,3.427829262,11.87134388,0.332698113,4.691551778,0,0,26.17745421,4.630020188,10000
17-06-2022,0.259866132,0,0,0,0.655886226,0.094599144,0.027169954,17.00343847,5.027819412,0.20711558,7.481268792,4.728055424,0.419323275,0.530130496,12.8738127,1.285521704,0.130688048,0.326111694,4.0664321,0.544201599,5.511541579,6.712978027,0,2.024774974,6.851751453,4.493432118,6.03440793,3.289151662,0,0.136311038,10.09586148,1.573075458,9.187094556,0,1.134788533,0.533236722,1.006479677,11.2719406,4.029140062,4.180614948,2.354428225,0.475051555,0.267418053,1.265272505,0.589857724,0,0,4.445327693,0.311024321,8400
18-06-2022,0.075359119,0.644776151,1.265833192,0.719906746,4.076457659,0.519180265,8.038120137,0.571990033,0.625129223,3.203853018,2.909890638,4.86911934,1.285708795,8.066591627,4.781571282,4.046031563,3.940338645,4.659038146,4.694436338,30.85774464,25.60563776,1.151765636,1.966905235,1.484439097,6.078036308,19.28359169,10.25797896,1.244738446,0,1.326036255,3.607822693,29.32070414,7.839705732,0,0,0.183538138,1.144658547,2.485170656,12.78083777,51.52503967,0.362219728,0.056368472,0.593567198,0.128105456,0.181792951,0.351620679,0,0.017297823,0.413006716,9550
19-06-2022,4.20938015,3.136477153,1.24742243,3.72118885,8.583932761,3.077658021,8.041407506,2.515451796,0.924190078,2.610867225,1.35750329,1.304472402,1.562532183,7.886652152,10.84310715,17.25299558,11.10287205,5.466049885,5.363267077,2.167079005,14.56234839,9.957158883,11.30583294,9.688580665,2.349107477,1.947787652,30.74803162,9.846774141,6.679023974,5.004072206,6.000431408,9.551310274,8.593365047,20.74662971,7.413686289,8.115303198,3.105612064,3.345364557,16.25298013,18.22257172,7.777840707,2.38308086,6.673650901,0.365700977,2.833080643,5.364532504,2.315354819,6.439850065,3.239999599,7680
20-06-2022,1.670822054,3.446745851,0.555821247,5.310911139,3.330014361,2.35062874,8.014568302,7.231830888,5.793510622,1.093207757,19.15442901,11.72845533,2.248861462,3.817408644,42.81059477,23.20130465,44.27382469,16.44670137,7.587173104,3.953913583,8.043852515,49.88046286,73.69978629,38.58677885,15.60504331,27.18222258,12.25771115,58.39185905,37.5386378,35.04807642,19.03157647,25.79202175,29.74165471,17.94261572,41.37449604,41.2957823,23.49501589,47.0531292,21.91799731,9.932816876,29.14948548,33.85332998,29.94382583,14.6859578,16.9821994,17.51935969,19.56093407,14.46219624,10.99508903,6470
21-06-2022,0.415744781,8.393064035,0.127710286,2.337602576,4.381085594,7.259839281,14.36022144,3.129766825,11.51987215,23.88359843,2.916923336,25.02130016,18.82197057,5.812175552,1.185896675,3.409402337,16.22420896,13.51055691,12.52566907,7.5202544,9.536716516,10.47954631,4.750917181,7.971141232,10.82171053,7.059988631,1.180511831,19.85924763,1.482216163,5.990333249,13.43482245,3.719810348,1.508873044,47.99282795,22.02159543,3.517412475,1.474583811,1.776681688,0.322028871,0.117575791,22.6407778,15.92571651,1.504328261,0.135309772,3.841617379,4.135276791,0.208679769,1.125011457,7.151591963,5410
22-06-2022,13.13986264,17.47834773,17.65511439,26.76933458,25.51413535,19.70619583,8.3765298,3.152799967,21.53722466,1.801361604,0.22433175,8.987306777,4.373574952,2.807629638,0.068573544,1.786063247,0.142088585,0.200027256,0.1435677,1.544761982,3.66619175,1.091605494,2.747425185,0,0,0.191850437,0.53394005,1.723457557,1.278898728,0,0,0.024112783,0.319055983,0,1.681326138,2.578944418,3.162516647,3.666983505,1.477467044,1.743395451,0.507107582,0.131663397,2.722888258,4.501908123,0.782165017,4.793685959,1.43620491,1.596125298,3.765528772,5210
23-06-2022,43.90168423,15.46129319,13.15436861,10.36877469,11.20642151,1.069746915,3.393985808,4.822961066,5.964263853,4.415888521,9.338541594,9.803714587,9.255018976,4.119405693,0,0,8.123109957,23.69519313,9.548242893,4.423432244,6.386428356,0.116969969,9.917573558,7.412609524,6.5304047,5.64114062,6.805553277,0,4.204003069,3.982463174,15.38574553,3.557967736,1.775463955,0,0.041852368,14.17368449,17.70635872,6.928324739,1.76969605,2.030265091,1.539455644,3.362522609,10.73627994,22.92576292,5.269635518,12.84005506,16.61630705,5.853577481,8.714811828,4985
24-06-2022,6.888708989,16.96780382,15.67776087,31.5131855,15.33854609,9.939278762,6.260553122,6.499814017,5.938471355,2.890643054,4.515931146,8.684138689,2.383905384,5.650774969,6.551143315,7.395185464,19.59268556,11.63089738,3.261254539,15.23168278,29.48851151,10.94328944,21.21895856,27.53526799,2.903626131,29.15116713,20.84161271,3.695132295,14.23225602,10.72676584,2.422592468,31.80813207,10.46060716,11.27049006,13.73500331,21.98422156,13.13855383,6.829763307,24.82042164,14.32620605,8.006383896,13.61584783,13.75320615,16.02944056,10.11925136,15.12918117,7.10551405,13.50836457,20.55190738,4985
25-06-2022,18.07078873,6.435430129,7.032014797,0.590276354,14.11584293,0.720694102,2.983963894,20.20475631,22.02004623,0.362211429,26.04426077,19.8702636,11.62902036,2.495516424,3.238660071,25.02115758,4.808085706,7.346315914,1.89006219,0.750243675,0.847755161,7.89261765,4.428515136,3.232859247,0.58890191,0.403844458,2.819339754,24.00208696,3.982835505,3.568011923,5.085661213,1.430883444,0.027568757,7.446058313,20.17880408,8.721371704,10.86268067,3.684365069,6.060397721,0.020504074,12.6438978,12.68161805,6.664763874,12.54787413,3.888026098,9.781476736,5.064131578,8.439417256,0.719712526,5310
26-06-2022,9.52976342,6.216395521,10.55025184,4.995224728,3.497966621,2.287969053,0.300136573,23.34437985,1.866023706,0.128225035,14.49490998,0.330624147,0.164596521,0.809785234,5.840805875,13.79382414,0.150050942,0,1.028619488,8.031595873,18.39553323,9.682807783,0.508583882,0.011297099,0.524796638,2.58012857,6.564601411,25.51505322,15.06895416,0.5099928,5.372984204,0.938905558,4.162599789,12.85756016,21.28868606,32.86866887,7.28129624,2.753276653,2.010921593,1.491024716,8.971834554,6.618861583,1.799362575,8.287365119,1.053161782,0.123409884,0.323759258,3.318215264,1.23226211,6105
27-06-2022,7.984331661,23.75893837,5.168517298,15.21557532,17.83498711,18.02953272,26.54929225,5.776881225,21.42030917,5.958607352,2.1010163,16.20820745,6.069107846,9.927706765,5.393836114,5.005772857,1.744395425,1.06849904,3.167451594,2.475759943,2.25339159,0.63470509,0.078049411,3.986141536,8.90653361,5.366156644,6.971881949,4.188641172,0.778785796,1.740061584,7.138464441,1.512615263,0.679401984,21.75865258,23.85601648,5.454780155,8.025118947,5.557515459,2.553458956,1.601204978,1.961611397,4.406971474,3.473870224,16.32312785,0.172769242,0.128685706,10.06351125,4.892145236,6.576041609,7030
28-06-2022,5.654109892,1.404358397,4.083103246,3.908983092,2.648153236,4.153544254,2.411823206,3.322956655,7.39567965,2.486195821,5.209087676,0.658581984,0.665138889,2.291295158,16.09799359,1.495862812,0,0.076555623,0.034559078,1.516508395,12.06535431,0.159744273,0.507774121,0.392605359,0.424216933,0.318608787,1.299421224,4.616866218,1.365984817,0.484096775,0,0,0.717752986,10.06603662,12.29112203,1.220152511,2.034067187,0.076790056,0.913624959,0.228295518,0.580356119,2.730021205,3.785131441,12.53115931,4.061832322,2.211219476,4.618650761,18.62095329,5.994818674,7350
29-06-2022,1.785063598,2.204607785,2.214680407,0,5.765337202,0.025112723,0.011612068,2.209754371,0.133446468,0.726485256,1.20495398,0.905066662,5.646977305,1.072757297,1.180172496,0.821528859,0.069141434,3.846639123,2.128656394,4.433506058,14.42126756,0.19912023,0.054575357,5.048445486,13.3428691,8.045206057,15.10472792,1.157067935,2.111244529,20.51995593,27.09935416,10.49447009,25.87535042,0.942735402,1.995590682,2.692910085,10.91961257,10.70103571,8.767442061,8.507230494,5.509737213,1.461838671,5.781226979,14.87531588,3.986807512,9.032068306,7.323187934,3.486721771,7.198993103,7350
30-06-2022,7.914831042,2.138028791,3.359751993,2.260189811,0.196086705,10.15445211,3.060016155,7.474368307,0.083404051,6.493265265,12.84861489,14.24988876,8.432554139,4.537838565,0.058491088,0.838299352,24.27524577,7.326701985,10.14008129,6.386277444,15.23778177,2.798429403,10.37555326,18.51636155,16.66830805,11.72102478,3.497090674,9.551432229,16.95093452,13.72673066,17.15240542,5.874559985,14.84402075,0.270715502,0.885520187,14.49248568,14.9032632,19.89718554,9.495192978,6.974591811,0.891616854,6.725191712,11.11278258,13.70925935,3.458869722,8.907940712,4.715780205,2.895668838,7.993574275,7350
01-07-2022,7.844239937,0.434238368,1.579695086,0.455698202,1.242128601,7.568406045,6.682134045,7.398862951,1.281465956,2.181047812,7.463188395,13.62527572,4.864201936,9.196008907,16.25656949,9.011278949,18.0514031,8.861331728,4.241332551,7.463756641,12.03413073,0.416077367,2.792478075,5.157380639,5.385094179,7.280047973,21.03484045,1.431306905,11.96991285,8.279288655,2.648295568,4.22544792,1.213169075,0.192959454,0.73761483,21.28956254,3.101895968,1.039754497,0,1.317370291,2.600254181,14.63406512,7.976325588,1.169584828,29.09547361,23.44426296,1.086292475,13.29736066,18.06885401,7350
02-07-2022,9.614640368,0.232658189,0,0.126690348,0.873066836,2.890451199,3.828412533,0.246408492,2.690968311,1.394908432,10.85798327,5.785608629,4.644011392,2.272032405,7.319607099,35.87728628,9.493637111,17.00898298,8.351771348,3.853053139,2.936166518,16.95025576,17.52270789,16.41360548,22.47777449,7.73562977,16.38468393,11.56276623,26.43101523,25.82147461,16.58728303,24.65351031,7.860722674,18.89520645,22.40371768,18.89933189,14.97469098,11.92043347,21.47103628,5.495496472,16.01591067,11.28750462,8.639538447,4.651836308,4.336276041,28.68192556,12.86879402,0.926163965,20.0414745,7810
03-07-2022,7.801643852,0.678926607,0,0.616604293,4.537918064,4.93193433,18.36271244,10.89213178,23.32200517,9.158808708,53.29974916,38.76975271,27.33528932,16.226081,17.86026955,56.06773843,52.3684614,48.17720286,16.96109311,5.297157513,3.857551707,23.24626833,28.14376884,37.97284487,19.64674102,25.2698697,5.16221069,31.11452654,48.28136529,44.60349104,35.17583995,21.25035302,12.0645771,28.64501339,27.66701063,48.82586246,22.32269194,9.580712106,7.756396691,17.25590738,6.291727106,15.57875644,14.21020174,3.860116919,7.78212346,6.808994704,4.115188652,3.459421648,7.132799784,8890
