Date,Station_1,Station_2,Station_3,Station_4,Station_5,Station_6,Station_7,Station_8,Station_9,Station_10,Station_11,Station_12,Station_13,Station_14,Station_15,Station_16,Station_17,Station_18,Station_19,Station_20,Station_21,Station_22,Station_23,Station_24,Station_25,Station_26,Station_27,Station_28,Station_29,Station_30,Station_31,Station_32,Station_33,Station_34,Station_35,Station_36,Station_37,Station_38,Station_39,Station_40,Station_41,Station_42,Station_43,Station_44,Station_45,Station_46,Station_47,Station_48,Station_49,Grand_Total_Inflow
01-06-1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0.333333333,0,0,0,0,0,0,1.222222222,0,0,0,0,0,0,0,0,0.444444444,0.666666667,0.444444444,1.111111111,1.666666667,1.777777778,2.444444444,3000
02-06-1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777777778,0,0,0,0,0.333333333,0.666666667,4.333333333,0.888888889,0,0.666666667,0.333333333,1.666666667,2,1.666666667,2.111111111,3.222222222,3.555555556,2.777777778,11.22222222,9.222222222,0.555555556,7.444444444,3000
03-06-1988,0,0,3.666666667,0,1.777777778,0,0,3.333333333,0,0,0.444444444,0.222222222,9.666666667,0.666666667,0,0,0.111111111,0,0,0.333333333,3.444444444,0,0,0,0,0.111111111,4.333333333,0,0,0,0,0.111111111,0.555555556,0,0,0,0.888888889,2,0.555555556,0.555555556,1.111111111,0,0.555555556,5.777777778,2.111111111,7.555555556,5,4.111111111,7.111111111,3160
04-06-1988,0,0,8.666666667,15.44444444,7.222222222,15,6.777777778,13.22222222,1.444444444,10.11111111,6.666666667,1.111111111,4.222222222,3.555555556,2.888888889,2,1.111111111,0,0.333333333,1.333333333,9,1.222222222,0,0,0,0.333333333,2.777777778,0,0,0,0,0,1.444444444,0,6.777777778,0.777777778,2,2.222222222,1.777777778,3.666666667,0,5,2.444444444,0.777777778,0,0,0,0.222222222,0,3340
05-06-1988,0,1.777777778,6.444444444,15.22222222,11.11111111,13.33333333,7.111111111,0,1.111111111,7.555555556,0.111111111,12.88888889,2.555555556,0,0,0.666666667,12.88888889,4.555555556,2.666666667,0.222222222,0,4.888888889,17,9.777777778,3.888888889,1.666666667,1.222222222,0.333333333,0.888888889,4.333333333,2.222222222,0.333333333,5.333333333,0,6.888888889,0.444444444,8.777777778,5.333333333,0,0.222222222,0,0.777777778,0.222222222,5.444444444,0,0,0,0,0,3340
06-06-1988,0,0,0,0,0,0,0.111111111,1,2.888888889,0,24.66666667,16.66666667,2.111111111,0.222222222,4,9.333333333,29.88888889,10.66666667,1.333333333,0,0,0.777777778,7.777777778,6,2.222222222,0,0,0,0,1.666666667,3.444444444,6.333333333,0,0,0,0,1.222222222,1.555555556,0.333333333,0.111111111,0,0,0,0,0,0,2.777777778,4.777777778,0.444444444,3340
07-06-1988,0,0,0.333333333,0.111111111,0.444444444,0.111111111,0.333333333,2.444444444,0,0,0.111111111,2.333333333,0,0,0.666666667,0.333333333,0,0,0,0,0,0,0,0.222222222,0,0,0,0,1.888888889,11,0,0.333333333,0,0,0,0,3.555555556,1.333333333,0,0,0,0,0,0,0.888888889,0.777777778,0,1.888888889,6.444444444,2980
08-06-1988,24.88888889,0.111111111,0.111111111,0,0.777777778,0.222222222,0,10.22222222,0.333333333,0,0.333333333,0.222222222,1.444444444,0,1.666666667,1.555555556,3.444444444,0,0,0,0,0,0.222222222,0,0,0,0,0.666666667,10.55555556,0,0,0,0,6.888888889,4.555555556,26,3.111111111,0.222222222,0.222222222,0,2.777777778,2.666666667,0.111111111,0,12,0.222222222,0.222222222,1.666666667,9,2590
09-06-1988,2.555555556,1.222222222,19.33333333,1.333333333,11,5.666666667,0.111111111,19,17.66666667,2.111111111,28.11111111,26.66666667,0.777777778,0,7.777777778,6.888888889,21.22222222,7.666666667,0.111111111,0,0,3.111111111,9.444444444,3,10.11111111,0,0,4.555555556,15.66666667,0.222222222,0,0,0,4.777777778,7.777777778,4.444444444,12.55555556,1.111111111,0,0,3.222222222,8.111111111,4.555555556,14,4.777777778,1.555555556,1.555555556,0,0,2000
10-06-1988,4,0,0,0,0.777777778,0,7.888888889,0.333333333,0,0,0.333333333,0.777777778,0.666666667,0.444444444,1.777777778,0.333333333,0,0,0,0,0,0,0,1.555555556,0.444444444,0,0,0,0,0.444444444,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,2000
11-06-1988,2.888888889,3.777777778,0,3.444444444,0,2.444444444,2,0,0,0.444444444,0,0,0.444444444,0.888888889,0,0,0,0.333333333,2.555555556,0,0,0,0,0.444444444,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0.888888889,0,0,0,1.333333333,3.777777778,0,0.222222222,7.666666667,0,5.222222222,2000
