Date,Station_1,Station_2,Station_3,Station_4,Station_5,Station_6,Station_7,Station_8,Station_9,Station_10,Station_11,Station_12,Station_13,Station_14,Station_15,Station_16,Station_17,Station_18,Station_19,Station_20,Station_21,Station_22,Station_23,Station_24,Station_25,Station_26,Station_27,Station_28,Station_29,Station_30,Station_31,Station_32,Station_33,Station_34,Station_35,Station_36,Station_37,Station_38,Station_39,Station_40,Station_41,Station_42,Station_43,Station_44,Station_45,Station_46,Station_47,Station_48,Station_49,Grand_Total_Inflow
01-06-2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,2.666666667,0,0,3.333333333,0,0
02-06-2003,0,0,1.777777778,0.222222222,1,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
03-06-2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,1.777777778,0,0,1100
04-06-2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,1.444444444,1,0,0,0,0.222222222,0.888888889,0.444444444,0,0.555555556,6.666666667,9.888888889,4.666666667,0.111111111,0,0,0,5.111111111,9.888888889,5.444444444,0.111111111,0,0,0,0.111111111,0.333333333,0.222222222,0,0.111111111,0.222222222,0.444444444,1100
05-06-2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111111111,0,0,1.777777778,2.444444444,1100
06-06-2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
07-06-2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33333333,7.111111111,1100
08-06-2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777777778,0.222222222,1,1.222222222,0.111111111,0.333333333,0.222222222,0.111111111,1100
09-06-2003,5.222222222,0.777777778,6.666666667,0.111111111,0.222222222,0,0.444444444,0.888888889,0.555555556,0,0,0,0,0,0.444444444,0.444444444,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0.111111111,0,0,0,0,0,0,0,1100
10-06-2003,11.11111111,1.777777778,1.666666667,3.555555556,4.666666667,2.777777778,5.222222222,14.11111111,1,7.555555556,0.777777778,5.555555556,4.333333333,0,3,4.444444444,3.555555556,1,0,0,0,2.888888889,4.666666667,2.888888889,0,0,1.222222222,0.333333333,1.333333333,0.333333333,0,0,1.222222222,1.222222222,4.444444444,0.888888889,0,0.111111111,0.777777778,0,0.555555556,1.555555556,0.111111111,0,0.444444444,0,0.111111111,0.555555556,2.444444444,1100
11-06-2003,0.444444444,0.333333333,2.666666667,21.22222222,2.222222222,13.55555556,11.88888889,13.33333333,1.555555556,3.333333333,15.55555556,1.777777778,0.333333333,0,9.777777778,5.333333333,0,0,2,6.888888889,0,7.444444444,0.333333333,1.777777778,1.222222222,2.777777778,0.111111111,11.55555556,5.888888889,0.444444444,2.333333333,0.666666667,0,0.666666667,10.33333333,3.888888889,3.555555556,2.333333333,1.333333333,0,7.222222222,2,0.111111111,0.555555556,0,0,1.444444444,0,0.555555556,1100
12-06-2003,0.333333333,3.444444444,1.777777778,3.222222222,8.888888889,0.888888889,3.555555556,2,3.222222222,1.333333333,4.444444444,7.555555556,0.444444444,5.333333333,2.777777778,5.222222222,4.111111111,5.111111111,3.222222222,1.444444444,0.666666667,6.555555556,3.333333333,17.22222222,9.111111111,0.111111111,6.888888889,5,1.666666667,1.333333333,0,0,2.222222222,11.77777778,9.444444444,7.222222222,7.666666667,0.222222222,0.111111111,1.444444444,1.111111111,3.555555556,1.333333333,4.555555556,11.33333333,2,1.444444444,6.888888889,0.666666667,1100
13-06-2003,1.555555556,9,12.66666667,5.555555556,1.666666667,7.222222222,7.111111111,1.444444444,7.666666667,18.11111111,7.111111111,6.444444444,15.33333333,17.33333333,17.66666667,3.666666667,7.222222222,17.11111111,4,7.222222222,3.444444444,8.888888889,8.888888889,14.44444444,7.333333333,0.888888889,1.888888889,21.22222222,25.22222222,15.44444444,1.888888889,0.777777778,5.111111111,11.44444444,15.77777778,8.888888889,3.888888889,2.222222222,7.555555556,3.888888889,9.444444444,12.11111111,2.111111111,4.111111111,7,2.333333333,2.222222222,0.111111111,6.444444444,1100
14-06-2003,10.11111111,0.777777778,5.666666667,0.888888889,5.888888889,4.777777778,9.777777778,7.444444444,23.22222222,6.555555556,15,20.33333333,36.33333333,24.22222222,7.111111111,14,44.44444444,45.11111111,26.11111111,18.44444444,9.666666667,21.11111111,47.33333333,19.55555556,16.22222222,5.666666667,2.777777778,29.33333333,28.77777778,2.333333333,0,1.777777778,3,23.77777778,46.55555556,18.55555556,0.111111111,5.555555556,42.44444444,35.33333333,9,19.66666667,1.666666667,0.111111111,9.777777778,0.888888889,0.555555556,2.444444444,0.444444444,1100
15-06-2003,31.33333333,7.222222222,0,1.777777778,0.111111111,0.444444444,4.777777778,0.444444444,1.888888889,0.222222222,0.555555556,4.111111111,0.111111111,0,1.111111111,0.111111111,0.888888889,0,2.777777778,0.222222222,17.55555556,1.555555556,0.222222222,0.333333333,0.888888889,0,1,1.666666667,0,0,0,0,0.444444444,0.111111111,0.444444444,1.666666667,0.222222222,0,0.333333333,0.333333333,1.666666667,0.888888889,6.666666667,0.777777778,10.22222222,1.111111111,6.555555556,8.111111111,3,1100
16-06-2003,9.555555556,0.777777778,1.333333333,0.888888889,0.333333333,5.888888889,7.555555556,0,0,3.666666667,0.111111111,0,3.444444444,4.777777778,0.444444444,0,0,0,0,0.111111111,0.333333333,0,0,0,0.555555556,0,0,0,0,0,0,0.888888889,0,0,0.333333333,2.777777778,0.111111111,2.666666667,15.55555556,0,0,1.222222222,8.111111111,0.333333333,0,0.777777778,5.555555556,0.111111111,0.111111111,1100
17-06-2003,6.222222222,0,0.555555556,0.111111111,3.555555556,0.888888889,1.444444444,0,1.444444444,0.333333333,0,0,0,1.555555556,0.333333333,0,0,0.444444444,7.888888889,4.888888889,13.11111111,0.111111111,2.444444444,17.44444444,31,13,16.44444444,0.333333333,6.777777778,26.44444444,17.55555556,6.222222222,12.55555556,2.888888889,1,18.11111111,34.11111111,29,30.66666667,7.888888889,7,5.666666667,9.111111111,6.777777778,12.55555556,13.11111111,2.666666667,7.888888889,11.11111111,1100
18-06-2003,34.88888889,1.222222222,0.222222222,0,0.222222222,0,0,1.555555556,5.444444444,0,2.888888889,7.333333333,2,0.111111111,0,0.777777778,5,5.333333333,7.111111111,7.888888889,4.111111111,1.888888889,16.11111111,9.111111111,8.222222222,15.66666667,6.333333333,8.111111111,11.88888889,7.333333333,9.222222222,17,12.44444444,11.88888889,11.22222222,10.88888889,8.777777778,6.333333333,18.33333333,6.222222222,18.11111111,5,1.444444444,6,6.555555556,8.111111111,10.44444444,11.88888889,15.88888889,1100
19-06-2003,15.11111111,5.555555556,2,5.111111111,2.666666667,2.111111111,4.666666667,0.222222222,1.777777778,0.111111111,1.222222222,3.777777778,0.444444444,0.222222222,0,2,3.777777778,1.111111111,0.444444444,0.444444444,0.444444444,1.222222222,2.444444444,4.444444444,1.111111111,0,0.111111111,2.777777778,0.555555556,2.222222222,3.444444444,0.666666667,1.111111111,0,4.111111111,1.111111111,0.111111111,0.777777778,0,0.777777778,0,3.333333333,1,0.111111111,1.777777778,2,1.333333333,4.222222222,8,1800
20-06-2003,34.22222222,0.333333333,2.333333333,5.111111111,2.222222222,1.777777778,3.777777778,1,1.555555556,1,2.555555556,2.111111111,0,2,1.333333333,0.888888889,1,1,4.555555556,5.777777778,2.777777778,2.333333333,1.888888889,5.111111111,8.111111111,4.888888889,0.555555556,6.111111111,2,4.222222222,1.222222222,0,0.222222222,4.777777778,7.777777778,2,0,1.777777778,1.666666667,0,2.111111111,1.222222222,0.111111111,0,1,0,3.333333333,0.111111111,1.555555556,1800
21-06-2003,39.44444444,0.555555556,3.777777778,2.888888889,3.555555556,2.222222222,5.666666667,3.777777778,5.333333333,2.222222222,6.222222222,5.777777778,4.888888889,6,1.222222222,9,2.777777778,1.666666667,1.888888889,1.444444444,0.222222222,3.111111111,2.555555556,0,1.888888889,0,0,6.222222222,2.222222222,0,0,0,0,12.66666667,7.444444444,2.333333333,0,0,0,0,25.22222222,19.66666667,0,0,3.777777778,0,0,1.555555556,0.444444444,1800
22-06-2003,57.22222222,3.666666667,6.888888889,40,7.222222222,19,26.11111111,13.77777778,22.22222222,12,31,17.11111111,16.11111111,8.888888889,1.888888889,11.88888889,16.33333333,4.111111111,5.444444444,1.777777778,1.666666667,1,0.888888889,1.222222222,0.111111111,0.111111111,0.777777778,3.777777778,1.555555556,0.222222222,0,0.111111111,0,2.333333333,6.222222222,8.333333333,0.888888889,2.555555556,12.88888889,0,9.111111111,7.777777778,0,2,0,0,0.222222222,0.333333333,0,1800
23-06-2003,6.444444444,7.555555556,22.77777778,9.777777778,7,13.11111111,5.222222222,11.11111111,2.555555556,5.111111111,7.333333333,0.888888889,13.22222222,15,16.55555556,9.444444444,6.888888889,4.111111111,10.55555556,17.22222222,25.11111111,8.333333333,6.888888889,5.333333333,2.777777778,0,18.66666667,1.888888889,17.88888889,24.77777778,3,0.333333333,5.333333333,2.777777778,10.88888889,30.66666667,34.33333333,10.11111111,11.44444444,22.66666667,15.22222222,20.11111111,12,3.333333333,12.55555556,3.666666667,2.333333333,7.333333333,3.888888889,1800
24-06-2003,7.111111111,2.666666667,9.888888889,3.888888889,6.222222222,6.333333333,2.333333333,3.888888889,8.333333333,6.777777778,12.88888889,16.33333333,4,2.777777778,6.222222222,13.44444444,19.44444444,14.11111111,14.55555556,23.77777778,34.33333333,8,20.88888889,11.88888889,18.11111111,17.88888889,21.66666667,7.333333333,15,16.77777778,8.111111111,33,36.55555556,0.444444444,7.777777778,16,23.11111111,9.444444444,10.66666667,21.22222222,10,5.333333333,2,12.55555556,2.777777778,4.222222222,5.444444444,2,10.44444444,3600
25-06-2003,5.666666667,9.777777778,1.444444444,2.888888889,1.444444444,4,30,10.44444444,4.555555556,14,5.666666667,1.888888889,14.55555556,7,7.444444444,5.777777778,2.222222222,19.22222222,13,4.777777778,6.888888889,0,3.222222222,10,30.22222222,55,6.888888889,0.666666667,5.111111111,22.77777778,14.44444444,30.44444444,22,0.555555556,1.444444444,7.111111111,15.11111111,14.55555556,15.33333333,8.777777778,7,5.555555556,3.555555556,10.44444444,1.111111111,1.777777778,4.444444444,0.333333333,1.111111111,2700
