Date,Station_1,Station_2,Station_3,Station_4,Station_5,Station_6,Station_7,Station_8,Station_9,Station_10,Station_11,Station_12,Station_13,Station_14,Station_15,Station_16,Station_17,Station_18,Station_19,Station_20,Station_21,Station_22,Station_23,Station_24,Station_25,Station_26,Station_27,Station_28,Station_29,Station_30,Station_31,Station_32,Station_33,Station_34,Station_35,Station_36,Station_37,Station_38,Station_39,Station_40,Station_41,Station_42,Station_43,Station_44,Station_45,Station_46,Station_47,Station_48,Station_49,Grand_Total_Inflow
01-06-1997,6.222222222,0.666666667,3.333333333,0.222222222,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4400
02-06-1997,0.333333333,0.555555556,0.111111111,0,0.111111111,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4400
03-06-1997,0.555555556,0.222222222,3.222222222,1.555555556,1.333333333,0.888888889,0.555555556,0,0.222222222,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4600
04-06-1997,0.444444444,0.666666667,0.111111111,0,0,0,0.444444444,0,0,0,0,0,0.333333333,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0,5500
05-06-1997,0,0,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,2.555555556,0.888888889,4620
06-06-1997,0,0,2.444444444,0.111111111,2.111111111,0,0.333333333,4.333333333,0.444444444,0,0.111111111,0.111111111,0,0,3.444444444,1.111111111,0.222222222,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.44444444,1.222222222,0,6.777777778,1.333333333,0,1.777777778,12.33333333,4530
07-06-1997,0,0.333333333,3,5.111111111,0.777777778,0,0,3.777777778,0,0.777777778,8.111111111,1.333333333,0.111111111,1.444444444,1,0.111111111,0,1,1,1,0.111111111,2,0.555555556,0.444444444,1.222222222,3.777777778,1.333333333,3.111111111,3.666666667,0.111111111,0.333333333,0,2.222222222,0.222222222,9.888888889,0.333333333,0.222222222,0,0,0.111111111,0,1.555555556,0,0,0.777777778,0.111111111,0,10.55555556,3.555555556,4530
08-06-1997,0,0,1.333333333,0.555555556,0.777777778,3.777777778,0,13.33333333,0.666666667,11,10.88888889,6.666666667,8.333333333,4.333333333,2,2.666666667,9.444444444,10.55555556,8,4.222222222,0.555555556,1.666666667,12.55555556,4.666666667,7,6.222222222,2,1.777777778,0,4.222222222,0.666666667,0.888888889,4.111111111,0.444444444,1.888888889,0,0.222222222,0,0,0.111111111,0.444444444,0.666666667,0.111111111,0.111111111,0.666666667,0,0,0,0,5800
09-06-1997,0,0,6.222222222,0.888888889,2.222222222,2.444444444,0.555555556,2.222222222,0,0.111111111,2.222222222,0.333333333,0.222222222,2.111111111,0.111111111,0.222222222,0,0.222222222,3.555555556,5.111111111,0.111111111,0,0.111111111,0.333333333,1.444444444,4.444444444,0.888888889,0.111111111,0,0.444444444,5.666666667,11,1.555555556,0,0.111111111,0,0,0.222222222,1,0,0,0,0,0,0,0,0,1.555555556,4,7250
10-06-1997,0.444444444,0,1.333333333,0,0,0,0,0,0.111111111,0,3.888888889,1.222222222,0,0,3.444444444,1.333333333,1.444444444,0.222222222,0.111111111,0,0.555555556,1.888888889,0.888888889,0.333333333,0.888888889,0.333333333,0.222222222,3,4.111111111,6.444444444,3.888888889,0.333333333,1.888888889,5.555555556,2.333333333,0.666666667,2,0.222222222,0.222222222,0,1,0.333333333,0.333333333,1.666666667,14.44444444,0.777777778,0.777777778,22.11111111,5.888888889,7250
11-06-1997,0,9.888888889,8.222222222,2.888888889,4.111111111,0.444444444,0.555555556,0.222222222,2,0.777777778,0.333333333,3.111111111,0.555555556,0,1,7.333333333,7.444444444,1.666666667,0.111111111,0.555555556,0,3.555555556,0.888888889,0,0,0,2.111111111,9,0.222222222,1.333333333,2.222222222,0,3.333333333,7.111111111,8.333333333,0.333333333,3.555555556,3.888888889,0.111111111,0,4.444444444,0.222222222,0.888888889,1.222222222,11,5.777777778,8.777777778,21.66666667,9.555555556,7250
12-06-1997,14.33333333,6.222222222,7.888888889,10.77777778,7,11.11111111,11.77777778,10.66666667,4.555555556,3.111111111,4.444444444,3.111111111,0.444444444,3.222222222,6.222222222,2.666666667,9.111111111,0.111111111,2.444444444,2.444444444,0.888888889,0,10.88888889,0,0.111111111,2.888888889,0,0,4.111111111,0.666666667,1.111111111,0.222222222,0.333333333,9.777777778,0.333333333,0.555555556,4.111111111,14.11111111,6.777777778,4.444444444,12.77777778,26,6.444444444,7.111111111,13.66666667,12.66666667,8.111111111,0.555555556,1.444444444,7250
