Date,Station_1,Station_2,Station_3,Station_4,Station_5,Station_6,Station_7,Station_8,Station_9,Station_10,Station_11,Station_12,Station_13,Station_14,Station_15,Station_16,Station_17,Station_18,Station_19,Station_20,Station_21,Station_22,Station_23,Station_24,Station_25,Station_26,Station_27,Station_28,Station_29,Station_30,Station_31,Station_32,Station_33,Station_34,Station_35,Station_36,Station_37,Station_38,Station_39,Station_40,Station_41,Station_42,Station_43,Station_44,Station_45,Station_46,Station_47,Station_48,Station_49,Grand_Total_Inflow
01-06-1983,0.444444444,0,0.111111111,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111111111,0,0,0,0,0,0,1.111111111,0.444444444,5178
02-06-1983,0,0,5.444444444,1,6,1,0,0.666666667,0,0,0,0,0.555555556,2.555555556,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0.111111111,0,0,0,1.111111111,0,0,0.666666667,0,5018
03-06-1983,0,0,11.33333333,3.666666667,8,8.555555556,0,2,0.666666667,1.777777778,0,1.222222222,0.555555556,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,4,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0.777777778,0.555555556,4111
04-06-1983,0,0,0,0,0,0,0,0.666666667,0,0,7.888888889,0.222222222,0.333333333,0,12.55555556,2.333333333,14.11111111,4.111111111,0,0,0,3,3.888888889,1,0,0,0,1.444444444,0.666666667,1.555555556,0,0,0,0.111111111,0.111111111,0.111111111,0.333333333,0,0,0.555555556,4.111111111,4.222222222,0.333333333,0,15.22222222,0.888888889,0,6.333333333,0.333333333,4111
05-06-1983,0,0,0,0,0,0,0,1.222222222,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.222222222,0,0,0,0,0.444444444,1.111111111,0,0,0,0,0,0,0,0,4589
06-06-1983,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,1.666666667,0,0,0,0,0,0,0.333333333,0.666666667,0.777777778,0,0,0.555555556,0.555555556,0.444444444,0.222222222,0,0,0.555555556,1.222222222,1.111111111,0,0,0,0,0.444444444,0.555555556,0.111111111,0.111111111,0,0.111111111,0.555555556,0,1,0.333333333,5110
07-06-1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.333333333,0,0,2.222222222,1.111111111,1,3.333333333,0.222222222,2,2,2.222222222,0.222222222,5110
08-06-1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3.444444444,0.111111111,5110
09-06-1983,0,0,0,0,0.222222222,0,0,3.333333333,0.111111111,0,0,0,0,0,0.111111111,0.666666667,2.333333333,0,0,0,0,0.333333333,0.888888889,0.555555556,0,0,0,0,0,5.333333333,0.888888889,0,0,0.444444444,0.333333333,0,1.222222222,0,0,0,4.444444444,0.888888889,0.333333333,0,0,0,0,0,0.444444444,4609
10-06-1983,0,0,0.444444444,0,0.888888889,0,0,10.66666667,0.222222222,0,0.222222222,10.33333333,1,0,1.444444444,0.111111111,2.777777778,0.444444444,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.777777778,0.444444444,0.111111111,1,0,0,0,15.55555556,9.333333333,0.111111111,1.222222222,0.333333333,0.111111111,0,1,0,3990
